Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
10/10/2025 10:00:05,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.03371700000000001
10/10/2025 10:00:05,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.001117
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,23296
10/10/2025 10:00:05,System.Runtime,dotnet.process.memory.working_set (By),Metric,45678592
10/10/2025 10:00:05,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:05,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.035623699999999994
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,9968
10/10/2025 10:00:06,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:06,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,117
10/10/2025 10:00:06,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.031522999999999995
10/10/2025 10:00:06,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.001170000000000001
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32512
10/10/2025 10:00:06,System.Runtime,dotnet.process.memory.working_set (By),Metric,45924352
10/10/2025 10:00:06,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:06,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.030008499999999994
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.timer.count ({timer}),Metric,0
